match_id,player,opponent,set,serve_pts,aces,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,unforced,serve_gap,match_date,start_time,gender,competition,level,surface,round,player_id,opponent_id,won,winning_reason
20250821-women-US_Open_Women_Singles-qualification_round_2-Sachia_Vickery-Ella_Seidel,Sachia Vickery,Ella Seidel,Total,43.0,0.0,4.0,30.0,13.0,14.0,5.0,7.0,2.0,67.0,27.0,,,1.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:51392,sr:competitor:762762,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Sachia_Vickery-Ella_Seidel,Ella Seidel,Sachia Vickery,Total,67.0,3.0,2.0,45.0,28.0,22.0,12.0,5.0,4.0,43.0,25.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:762762,sr:competitor:51392,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Martin_Damm_Jr-Benjamin_Hassan,Martin Damm Jr,Benjamin Hassan,Total,72.0,15.0,4.0,48.0,40.0,24.0,13.0,1.0,0.0,82.0,28.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:51345,sr:competitor:108767,True,
20250821-men-US_Open_Men_Singles-qualification_round_2-Martin_Damm_Jr-Benjamin_Hassan,Benjamin Hassan,Martin Damm Jr,Total,82.0,7.0,1.0,52.0,37.0,30.0,17.0,7.0,5.0,72.0,19.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:108767,sr:competitor:51345,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Aoi_Ito-Guiomar_Maristany_Zuleta_de_Reales,Aoi Ito,Guiomar Maristany Zuleta de Reales,Total,59.0,0.0,1.0,47.0,26.0,13.0,7.0,8.0,4.0,79.0,44.0,,,1.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:499098,sr:competitor:208017,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Aoi_Ito-Guiomar_Maristany_Zuleta_de_Reales,Guiomar Maristany Zuleta de Reales,Aoi Ito,Total,79.0,0.0,3.0,54.0,26.0,25.0,9.0,13.0,6.0,59.0,26.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:208017,sr:competitor:499098,False,
20250821-women-US_Open_Women_Singles-qualification_round_2-Shuai_Zhang-Darja_Vidmanova,Shuai Zhang,Darja Vidmanova,Total,48.0,1.0,2.0,38.0,31.0,10.0,3.0,1.0,0.0,47.0,27.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:19607,sr:competitor:501894,True,
20250821-women-US_Open_Women_Singles-qualification_round_2-Shuai_Zhang-Darja_Vidmanova,Darja Vidmanova,Shuai Zhang,Total,47.0,1.0,1.0,40.0,19.0,7.0,1.0,9.0,4.0,48.0,14.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,women,US Open Women Singles,grand_slam,,qualification_round_2,sr:competitor:501894,sr:competitor:19607,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Alexander_Blockx-Kimmer_Coppejans,Alexander Blockx,Kimmer Coppejans,Total,40.0,3.0,1.0,25.0,19.0,15.0,5.0,1.0,0.0,39.0,13.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:829282,sr:competitor:54955,False,
20250821-men-US_Open_Men_Singles-qualification_round_2-Alexander_Blockx-Kimmer_Coppejans,Kimmer Coppejans,Alexander Blockx,Total,39.0,2.0,3.0,26.0,21.0,13.0,5.0,3.0,2.0,40.0,16.0,,,0.0,20250821,2025-08-21 15:00:00+00:00,men,US Open Men Singles,grand_slam,,qualification_round_2,sr:competitor:54955,sr:competitor:829282,True,
