tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2026-2096,Canberra 125,Hard,32,C,20260105,300,220466,,,Joanna Garland,R,,TPE,24.4,221236,3,,Polina Kudermetova,R,,UZB,22.5,6-4 6-2,3,F,85,6,4,61,35,28,15,9,3,3,3,8,63,32,23,13,9,3,6,129,555,167,410
2026-2096,Canberra 125,Hard,32,C,20260105,299,220466,,,Joanna Garland,R,,TPE,24.4,220750,,,Daria Snigur,R,,UKR,23.7,7-6(3) 6-3,3,SF,92,9,2,63,43,30,12,10,0,1,0,2,68,51,28,10,11,2,5,129,555,149,479
2026-2096,Canberra 125,Hard,32,C,20260105,298,221236,3,,Polina Kudermetova,R,,UZB,22.5,221124,,Q,Himeno Sakatsume,R,,JPN,24.4,7-5 6-2,3,SF,73,7,6,57,28,21,16,10,1,3,3,4,55,31,19,8,10,2,7,167,410,151,462
2026-2096,Canberra 125,Hard,32,C,20260105,297,220750,,,Daria Snigur,R,,UKR,23.7,215899,1,,Simona Waltert,R,,SUI,25.0,6-2 6-4,3,QF,85,1,5,61,41,26,10,9,4,7,3,5,64,31,18,10,9,5,11,149,479,88,817
2026-2096,Canberra 125,Hard,32,C,20260105,296,220466,,,Joanna Garland,R,,TPE,24.4,214461,,Q,Tamara Zidansek,R,168,SLO,28.0,6-2 6-4,3,QF,92,2,1,61,33,23,16,9,3,4,1,5,63,35,24,8,9,4,8,129,555,156,445
2026-2096,Canberra 125,Hard,32,C,20260105,295,221236,3,,Polina Kudermetova,R,,UZB,22.5,206294,,,Yue Yuan,R,184,CHN,27.2,6-1 6-0,3,QF,46,2,0,34,19,16,12,7,0,0,1,3,38,22,8,5,6,3,8,167,410,135,526
2026-2096,Canberra 125,Hard,32,C,20260105,294,221124,,Q,Himeno Sakatsume,R,,JPN,24.4,202493,,Q,Ekaterine Gorgodze,L,,GEO,34.0,3-6 6-2 6-0,3,QF,107,3,6,77,46,30,12,12,2,7,0,3,80,65,32,4,11,8,16,151,462,176,390
2026-2096,Canberra 125,Hard,32,C,20260105,293,215899,1,,Simona Waltert,R,,SUI,25.0,221307,,,Darja Vidmanova,R,,CZE,22.9,3-6 7-5 6-3,3,R16,170,2,9,98,57,38,17,15,9,14,5,6,112,65,42,20,15,10,16,88,817,145,494
2026-2096,Canberra 125,Hard,32,C,20260105,292,220750,,,Daria Snigur,R,,UKR,23.7,215314,,Q,En Shuo Liang,U,,TPE,25.2,6-4 6-2,3,R16,72,2,4,52,28,16,10,9,2,6,0,6,68,33,18,9,9,7,14,149,479,394,153
2026-2096,Canberra 125,Hard,32,C,20260105,291,214461,,Q,Tamara Zidansek,R,168,SLO,28.0,222290,,,Lanlana Tararudee,R,,THA,21.4,7-6(5) 2-6 6-3,3,R16,148,1,8,105,57,40,20,15,4,8,7,7,85,30,24,27,14,1,4,156,445,131,546
